TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
Offshore does all of the cam's [campaigns] on keyboard and then onshore does the optimisation.,,,,,,,,,,,,,,,,,,
"I'm going to share my screen but I'm actually going to have Tammy walk through the presales process first, right? Ok. Can you see my screen? OK, Tammy do you want to go into what you do in SalesForce and how you kind of lock a deal?",SalesForce,,,,,,,,,,,,,,,,,
Thanks.,,,,,,,,,,,,,,,,,,
"Yeah, so you click into the opportunity section. We would do - and Katy doesn't want to give access - but there's a way that you can do like a new deal, typically. Do you want me to share my screen?",Managed service, SalesForce,,,,,,,,,,,,,,,,
Yeah. Can you do the SalesForce? And I'll start.,,,,,,,,,,,,,,,,,,
Let me see.,,,,,,,,,,,,,,,,,,
"Ok, so you would jump into opportunities [in SalesForce].",,,,,,,,,,,,,,,,,,
"Let's say you had a conversation with the CPG and you're ready typically on outreach, we would set up like a new opportunity. So depending on the retailer that you're on, you're going to have a consistent format that you would put your opportunity name is. It's really tied into like it's helpful for billing stuff and Katy I don't think the opportunity name has too much to do with set up. [Katy responded 'No']",CPG (Consumer Packaged Goods), Billing,,,,,,,,,,,,,,,,
"And then we have the account name. So if the account is not set up, there is some stuff that we need to go through to get the account set up from like an approval from like a finance perspective. So assuming the account set up, we would put that in.",Approvals,,,,,,,,,,,,,,,,,
"If they are working with an agency, we put that in.",,,,,,,,,,,,,,,,,,
"The [opportunity] stage names are typically like 'open' is going to be your first reach out. If you get a response and you're in 'negotiating' or 'pitching' stages with the client, you would adjust these [in the dropdown menu]. And that really just weights it out in terms of like how much we feel like the deal is going to close. So the closer that you get to locked, the higher percentage of actually locking [the deal] is. 'Pending', once we've set the IO out and we're waiting for signature and then once it's locked, I can kind of walk you through the steps that would happen in a deal once it's locked. You'd plug in your start and end date - these would feed directly into PIO [Placements IO]. So this would be things that need to match the IO. They would also need to match in PIO, which is what Ali's team uses as well.",Insertion Order (IO), Placements IO,,,,,,,,,,,,,,,,
"The amount [input field] this is going to tie, this is the total amount on the IO. A lot of times we'll have multiple line items on the IO. So like that's when you would submit a media plan and that would feed into PIO. And CSM's and Ad Op's would utilise the PIO line items. But this would be the total amount on the IO.",Placements IO, Insertion Order (IO), Managed service,,,,,,,,,,,,,,,
"Sorry Tammy, the CSM would work with the sales person based on the budget that Tammy has in here in the line is she's thinking of and create the media plan in PIO to then come back to Tammy.",Planning, Managed service, Placements IO,,,,,,,,,,,,,,,
"So 'Bill to Account' [field], this obviously is all billing related but it, if it's either agency or account, so you'd put plug that in there.",Billing, Agencies, Brands, Business norm,,,,,,,,,,,,,,
"These are, so this would be I'd be the owner. We'd have a CSM. This would all tie into PIO, we'd have the close date. So the date that you locked it or your expected date that you're going to lock it - manage or self-serve [selection from the managed vs Self Serve dropdown]. So this is a signal to Op's if they're managing it or not.",Self-serve, Managed service, Placements IO,,,,,,,,,,,,,,,
We'll put in here if there is an integrator. Typically we have that information from the account when we're setting it up. And then lead type is just how we got the lead.,Business norm, Managed service, Partners,,,,,,,,,,,,,,,
"We plug in one billing contact, we can't lock it without a billing contact. Obviously super important to ensure that we can bill the clients. Mine is a little bit different because I have ABSCO, but these are just ABSCO fields, but I'll relate back to billing.",Billing, Absco (Albertsons Media Collective),,,,,,,,,,,,,,,,
"So, let's just go into a Pepsi deal [in SalesForce].",,,,,,,,,,,,,,,,,,
"So let's say that I had just locked, or I guess let’s say it went into pending stage that what Katy is talking about, is like when I would go in and put the media plan in. So let me click on media plan.",,,,,,,,,,,,,,,,,,
"Yeah, this is going to open PIO. I always get an error every time I open it, so I open it twice.",,,,,,,,,,,,,,,,,,
But it always works the second time.,,,,,,,,,,,,,,,,,,
"Ali, this is more or less what my team is doing. So I don't know all of the details, but they would go and submit a request.",,,,,,,,,,,,,,,,,,
"So they go in and then yeah, they create the line items there.",,,,,,,,,,,,,,,,,,
"Tammy doesn't have the plus button [in Placements Io] - there's a plus button on the side - and based on what Tammy has in her media brief after speaking with the client and what they want to see. If it's just SPA [Sponsored Product Ads] they'll just do one line item. But they may want it broken by sub-brand or need to be billed by sub-brand. So we would build additional line items under here and that is a signal to operations that different wallets are needed to be created. Because we have to keep budgets separated so we don't over bill each particular one. If there's a different media mix, so if they want off-site, social or banners as well as SPA, that would all be a line item under there, but could be a singular wallet. So that's something that Tammy would have to give to us in notes or the CSM would give to us in notes when we're thinking about a setup.",SPA (Sponsored Product Ads), Placements IO, Managed service,,,,,,,,,,,,,,,
"And then based on which retailer, we have a breakdown of percentages in which we put towards banners and SPA and social. We always try and start with the most money in on-site SPA and then use the remaining funds into the other formats.",Planning, SPA (Sponsored Product Ads),,,,,,,,,,,,,,,,
"So once the CSM builds this, it can be exported into an IO and contract. And then that is placed back into the SalesForce line item here for Tammy to export and send over to the client for signature.",SalesForce, Placements IO,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,
"So then once we get the IO for signature, I would move it to this locked stage [in SalesForce]. And we use this chatter function to communicate back and forth between CSM and sales.",Insertion Order (IO), Contracts, SalesForce,,,,,,,,,,,,,,,
So there's a few different ways that we would go about it.,,,,,,,,,,,,,,,,,,
"Some of it is organic. Like they'll reach out to us or the retailer would send it over to us. A lot of times the team is strategising in terms of like who they want to reach out to. And they're either getting contacts from other people that are working with that client within AdManager. Or we're using things like Winmo or LinkedIn to try and find contacts. But the times where we're like reaching out strategically, it's typically all tied back to keyword rev [revenue] opportunity on search. So like eggs consistently as an opportunity. So we're always like on Albertson's we'd be taking a look at like, OK, looking at their product assortment. Like who are the brands that we don't have playing [spending] in eggs right now? And we'd be reaching out to them to get them to start spending.",Winmo, AdManager, Brands, Revenue, Search terms / Keywords, Albertsons, Retailers, Business strategy,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,
"Yeah. So, I guess I kind of skipped over that part [the media plan]. So once we get the locked. Like it's locked and we have the IO signed and let's say it's for mainland service. It's kind of, there are a few different processes I would say across retailer. But obviously, we need to get the information over to Op's in terms of like what SKU's that they're going to be putting into the campaigns and then also the strategy against it. So we have a managed service strategy doc. I can see if I can pull one [Excel spreadsheet in SharePoint] up for you guys to see. This is for Albertson's, but I know that a few other retailers have similar ones out there that they're utilising.",Planning, Excel, Insertion Order (IO), Managed service, Albertsons, SKU, SharePoint, Retailers,,,,,,,,,,
"Yeah, there's always going to be some sort of brief. So we understand the client objectives before we set up and know how to optimise in the future.",,,,,,,,,,,,,,,,,,
"Correct. Yeah, for a contract. But then I Tammy will also have this conversation with them simultaneously.",,,,,,,,,,,,,,,,,,
"Yeah. So once we lock it in, we'll go through like basically before the IO start date would be. We like to get it signed, but then we'll walk through this with them. But it basically ensures that they're aligned on executing all of the placements. There are some, obviously things that we need to know about each placement. So home page carousel, so we can only have two products [placement slots]. So like we align with them on what those two products are. So that it's very clear for Ad Op's as they're setting up campaigns. A few other questions are just like things that we ensure that the supplier knows about each placement. We'll have the BPN list, which is essentially the SKU list. BPN is just what Albertsons calls it. And then we have a keyword list. So basically, it's going to give the product and the BPN or SKU and the keywords that tie back to each of those products. So we have, in Pepsi's case, we had, I want to say like 60 just for FNLA, which is just our snacks like different lines because we had to set up multiple campaigns because of ensuring that like relevant products and keywords were just in one campaign. And then we'll do the same thing for branded. We'll break out all of the branded keywords.",Search terms / Keywords, Placements, Managed service, Relevancy, Products, Albertsons, Pepsico, Insertion Order (IO),,,,,,,,,,
From an API perspective this is something that's a pain point is Albertson's uses a BPN and Target uses a TSIN and some people use a SKU and some people use a product code. So we would never be able to set up like one campaign across multiple retailers as it stands today.,API, Data challenge, SKU, UPC or Identifier, Albertsons,,,,,,,,,,,,,
Some sort of standardised. Because even UPC's differ a little bit.,UPC or Identifier,,,,,,,,,,,,,,,,,
"And would also allow us the ability to look at like, ok, why aren't some, like, ok, Pepsi is performing better on Target. There could be opportunity on this other retailer. Ok. Well, they're missing 20 UPC'S. Let me go see if I can convince them to add those UPC's. Or like, how do I like just another way that we can figure out how to get more money across retailer.",Pepsico, Target, Retailers, UPC or Identifier, Future opportunity,,,,,,,,,,,,,
I have a million things open.,,,,,,,,,,,,,,,,,,
"I think that like that Katy unless there's other things I can, you know.",,,,,,,,,,,,,,,,,,
"No, I think that ends the sales portion. So I'll switch to where I pick up.",,,,,,,,,,,,,,,,,,
"So once we get into Placements [Placements IO], we have a workflow in place to make sure that the contract is within a certain start date. The line items in here match SalesForce and the contract again. So we just do checks and balances before things can officially go live. So this is workflow for  4 of 4 [4th step in the workflow in Placements IO]. So if it falls within a five day, that has to be approved by an Ad operations lead to make sure that it can fit into our workflow. Obviously, this time of year, most things are coming in last minute as people are trying to spend their budgets [i.e. end of year budgets], so that has to be approved. And then the ready for trafficking is the last stage. So we'll double check the IO the line items are good to go. The team name is filled out and that the Ad server is equal to CUI [AdManager UI] so that it connects to our API from there.",SalesForce, Placements IO, Approvals,,,,,,,,,,,,,,,
"Once it's live, the CSM can talk to us, and this is something that's going to be changing next year. But they will then come to Service Now and submit a trafficking ticket to our team. So they'll create a campaign and then all of the information that we need and is applicable to our setup from the CSM will come in here [New Campaign creation in SalesForce]. So they can type in the retailer, start and end date, they can send it to the correct team, what the deal name is, who the supplier account is.",Managed service, SalesForce, Campaigns, Date or Time related,,,,,,,,,,,,,,
"I'm going to use one that's in test right now, so I don't alert people. What the deal name is. The budget, any applicable information that we need to know here. They'll put in their asset folder link. So that includes the brief that Tammy has. For others that would include the SL template, which is just a different way to do the brief. But just so you guys are aware, this is one single campaign [displayed a large campaign list in SalesForce]. But because how Kraft breaks down their wallets. We have to have keywords by product by template so that we can set it up in the platform. So someone like Kraft could equal, I don't know Tammy, like what 1000-line items in the platform just from search. That's not any other placement that we have on our site just because it's not smart enough to put SKU's with keywords at this point.",Products, SalesForce, Search terms / Keywords,,,,,,,,,,,,,,,
"So once they submit all of this information, this is where the CSM and Ad Op's team will speak back and forth. And then we'll have our queue [campaign list] in here to go through now.",Managed service, Routine activity,,,,,,,,,,,,,,,,
"Yeah, we have to think of every search term imaginable to every product SKU. But we also from a search perspective, don't want their site to appear broken. So we don't want milk to show up on Oreos or cheddar cheese to show up when someone is searching Swiss. Because it is such an intentional part of a shopping trip we want to make sure that it looks correct when we're serving an Ad. And if it's the correct ad, it's going to get clicked more and then obviously drive more revenue. But we have to manually put all of that together.",SKU, Search terms / Keywords, Products, Manual effort, Ad serving,,,,,,,,,,,,,
"And it's feedback too from like Alberton, right, Tammy where they were really challenging us on the long-tail like OK, maybe if we just did the keyword cheese. Like we wouldn't have to create so many. But it's not just cheese, it's Swiss cheese, six packs, it's cheddar cheese, you know, lump cheese.",Albertsons, Search terms / Keywords, Business challenge,,,,,,,,,,,,,,,
"Yeah, something like a smart phrase match. If we had a dedicated analytics person to thinking of different keywords, even misspellings like coffee with a single 'f' is actually searched more than coffee spelled however you spell coffee. But a single 'e' [for coffee] is actually searched more than the correct way to spell coffee. [Limitation]",Search terms / Keywords, Limitation, Guidance, Future opportunity,,,,,,,,,,,,,,
"But those are things that we have to learn and we see none of that in the platform at this point. So that's another platform that we have to go into and has to be maintained and specialised in DataGrid in terms of Ad calls and things like that. So Tammy and her team have gotten really good at like diving down and having a good relationship with the retailer. So even beyond what we can see, Tammy is working with Albertsons to understand what their top search terms are on the retailer. Which we at this point don't really have insight to unless we tie something to it and deliver an Ad.",Business challenge, DataGrid,,,,,,,,,,,,,,,,
