TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"No, I understand. It's like kids in school, dry run.",,,,,,,,,,,,,,,,,,,
Tell me more about yourself.,,,,,,,,,,,,,,,,,,,
"I didn't realise, we did tell you back in March.",,,,,,,,,,,,,,,,,,,
"Yeah, it is that fun part. So, you all know me. Been here a while. Very interested to see how this works out because you can be like, how do you set up a campaign? I don't. I'm ready to say all about the things I don't like about it in great detail.",,,,,,,,,,,,,,,,,,,
That was you went again.,,,,,,,,,,,,,,,,,,,
"I think it's a, I think it's a nt I googled it after the first. I was like, I'm right. Right.",,,,,,,,,,,,,,,,,,,
"Pressured. Oh, cool.",,,,,,,,,,,,,,,,,,,
"Oh yeah, let's go with good. Isn't it good?",,,,,,,,,,,,,,,,,,,
"Yes, I had a good lunch.",,,,,,,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,,,,,,
"Oh, it's a long title... fake product. I'm sorry, I'm trying to take you seriously. But dear God even I can't say my title with a straight face. VP Product Enablement and Communications.",,,,,,,,,,,,,,,,,,,
"I've been in this for about six months now, in this role. But part of product for about 2 years. Scary.",,,,,,,,,,,,,,,,,,,
"Yeah, the true answer is no. I understand where these questions come from. No.",,,,,,,,,,,,,,,,,,,
"Nothing client success wise, really? Nothing beyond Oh God, it's [a campaign] not serving, why isn't it serving, if that makes sense? Good at troubleshooting as technical support side but not active management?",Routine activity,,,,,,,,,,,,,,,,,,
"Yeah, it must be hard for you to pivot all your questions because obviously me being admin I did see a Confluence page as well and I was like, oh, here's all the questions coming. So, suppliers are either Always On [spend] which as you're aware, they just spend like wild. It's a very Woolworths approach where they want them to up their credit like crazy. I guess where we have the most trouble is agencies because they get paid to spend a set amount of money as you guys have probably been aware. So, an agency gets $10,000 and their job is to spend it appropriately. And they only get [$]10,000. They don't ask for more. They need the [$]10,000 to go well, and they need it to spread across the time [campaign duration] for reasons I don't really properly grasp but beyond visibility. But that's probably something you either have heard or will hear where they do want to pace it out day by day. But obviously you have the retailers like Woolworths that don't even operate daily spend. Because of the revenue implications from those Always On suppliers having the option to limit their revenue to a per day basis instead of spending like crazy. None of that was the answer to the question you wanted. But dear God, I do love to talk.",Budget, Campaigns, Spend, Brands, Woolworths, Agencies, Revenue, Operations,,,,,,,,,,,
