TRANSCRIPTION,TAGS,,,,,,,,,,,
So let me know where you want to start.,,,,,,,,,,,,
"I'll start with one thing guys, just because I've met a lot of retailers in the last while as well. I'm also pitching to retailers myself. And just as more to get everybody on the same page. Because this won't change is my view, OK. Is that there is a continuum. And, the continuum is obviously [a] I don't have a retail media network to – particularly US when I'm already up and running in this sort of in terms of market segments. It's like I don't have a retail media network, but I don't even know anything about the tech right. Up to [b] I’m up and running; I know what it is that I'm thinking about the tech. And so that's why generic questions don't work. Because what I find when I'm talking to the retailers, they're very specific – specifically falling into those buckets. And even then within the buckets like, one individual may be the kind of like proselytiser [change advocate] in the organisation or you know they they've put their neck on the line, but the others don't know what it is. So they got to do a big as you know an internal kind of sales pitch. So one has to ask in terms of the three sales, the three buckets is, is my starting point always. I said 3 buckets, but it could be 4 buckets, i.e. customer segments.",Tiers (customers), Ad Tech, Retailers, Expertise,,,,,,,,
I'm referring to retailers.,,,,,,,,,,,,
"So the answer is different in each case. And then the answer is also different obviously, as you guys know, am I talking about grocery here, or am I talking about you know somebody selling electronics. Because then obviously the CPG drives it, and so on. I'll give you a specific reason and then I'll shut up and then we can get to the questions.",Retailers, CPG (Consumer Packaged Goods), FMCG,,,,,,,,,
"So there's a company called the Very Group, which if anybody has ever been to the UK would know them as Littlewoods and they changed their name as from Littlewoods to Very. And they have been our client for about six months. And they do 1.4 billion [Sterling] online and there's a mix within there. So they've got electronics, clothing, furniture, and some other stuff. OK. So it's a real mix. It's kind of a department store online. It’s more like a Kmart – Australian style – or a Target Australian style that Target American style. And they don't really figure they're going to have much action on the electronic [products] side. They're going to have a lot of more action on the fashion side. And, why is this? Well, because Apple and Samsung run tell; them what to do and don't give them any more money and they will rule the roost. And I found the same with the Warehouse Group in New Zealand where they're like “No, no, we get told what to do on the electronic side”.",Retailers, Fashion, Business challenge,,,,,,,,,
"But when you move into fashion, it's so fragmented then it's a different answer. And therefore from your side, [the] functionality changes. Because obviously the sponsored search, sponsored product is not as important on that. And then you move into a different zone around sponsored display and other sort of high-end products. So that's why when we're asking questions, you have a 2 stepper in your head. You got to have [1] what's the segment, and [2] how advanced is that retailer segment. And then who are their suppliers and how does that drive it? Do you see what I'm saying?",Retailers, Banners, Business challenge, Expertise, Tiers (customers), SPA (Sponsored Product Ads),,,,,,
"They would have a lot of long-tail accessories, and I think there's a lot of opportunity in the accessory side. But what happens is they get a bit nervous. They're like “Well this is not going to work on sponsor products, and we can't really sell them any display. And we can't really sell money kind of high-end creative”. Because they're like “No”. But the accessories is different, obviously. You know, telling you you're going to say something.",Retailers, Fashion, Future opportunity, Business challenge,,,,,,,,
"I kind of stepped back a bit and I’ll kind of tell you some of the interests we had. I'm head of design and Nate's one of the product designers. And we’ve kind of taken a step back from the typical product feature and a usual product strategy. We've actually moved back into looking at ecosystem trends or themes I should say. So themes are kind of human behaviour themes that kind of affect the industry rather than a feature and that. And there's two there's two really big areas that I kind of want to talk to you [about]. And again it's kind of segmented into different buckets, because it doesn't hold true that just because you're a big retailer you've expertise. We're finding there's a mix up between big retailers like lots of expertise; lots of digital literacy around RMN’s. And others that are like massive and I'm talking billion dollar turnover… massive, and they're just struggling. So size doesn't make any difference.",,,,,,,,,,,,
"But the one area that I want to talk about there is something that came up really quite a lot in the UK and Europe and the States is this tension around funds. And this tension around funds being moved out of trade funds into online and a little bit of resistance from retailers around that. And we found that there's two big drivers from the brands. So what the brands want, is they want sales and they want acquisition – new audience. And what the retailers want is to cover the cost of their investment in tech. And those two things don't sometimes line up. So that's probably the first area I really want to dig into. What you're finding around that tension piece. And I read your Remade paper around how brands are now questioning the investment with they're kind of saying well with the lack of transparency and lack of metrics and that, they’re kind of saying “Should we pick the top three or four RMN’s. So should we pick an Amazon and Walmart and just invest them and forget about the rest of them. Because all the rest of them kind of shout to give us money. So they take like the top five sure bets”.",,,,,,,,,,,,
"Can we hold that note Mark because that's a thing on its own. But they're both great points. So this is a topic that I've spent and listened and researched like a lot on the first one. So just a framing for you, is again just like the retailers are in different segments, there's actually a thing that I couldn't figure out for a while. It took us working with a number of retailers to work this out. It's a very simple sort of metaphor which is like there are retailers who are traders and there are retailers who are strategic.",Retailers, Business strategy, Tiers (customers),,,,,,,,,
"Now if you take say Superdrug who's our client – they're part of the AS Watson Group in out of Hong Kong. And they run like Marionnaud in France and in Austria. And they run, I forgot, the largest tech chemist chain... pharmacy chain in Holland. And they're so trading, you wouldn't believe. It's all deals, deals, deals. Get them in, get them out. Everything's health and beauty… even though it’s health and beauty, it's get them in get them out. Whereas you look at Boots and you look at Tesco and you meet their chief execs. In each case they're like strategic and the same for The Very Group [Littlewoods] they're strategic. So there's a continuum. And so I would say to anybody's trying to sell tech into these guys, you've got a know where they are in the continuum, are they strategic, [or] are they just pile them high. Because the tactical guys like say like a Superdrug… typically the senior management is built like that because they come from a trading background. So the most important thing is the profile of the senior management, are they there in the organisation for a long time. Are they you know trading types. Typically they'll come from trade. So that's number one.",Asia, Trade marketing/spend, Business challenge, Ad Tech, Health & Beauty, Pharmacy, Business strategy, Retailers,,,,
"Number two, associated with that back to your point Mark, is typically they're trade money is how they make money. OK, so if you take say one of the things I do – I don't think I did it in Remade [publication] but I do it a good few other things – I put up a list of the margins for all the major grocery retailers across the globe on the screen. And it's like 2.7 [percent] to 3.2 [percent] with a lot of negative. And there's essentially no margin in retail. And retail only earn their money through trade for the most part. And that shouldn't really come as a surprise to us, but it still is kind of surprising. I kind of knew it. And then, hold on a second, I didn't think it was as low as that. And those margins are going down, They're not going up.",Trade marketing/spend, Business challenge, Revenue, Grocery, Business norm, Retailers,,,,,,
