TRANSCRIPTION,TAGS,,,,,,,,,,,,
What you mean behaviour?,,,,,,,,,,,,,
"That makes sense. So I think the trend in the you know, the more recent past has been retailers really wanting to own it. The more self-aware retailers that have been led by consultants or just arrived to it [RMN’s], realised like they can't do it alone.",Advice and guidance, Retailers, Moderate Alignment,,,,,,,,,,
"I think all of them kind of realised it now, they need some kind of tech to power it, but it doesn't just stop at tech. Obviously sales is a the component which a lot of retailers you know think that they can sell it themselves. But it's more than just squeezing your suppliers [for money].",Business norm, Business challenge, Managing expectations, Ad Tech, Retailers, Moderate Alignment,,,,,,,
"What I found from the market brand and agencies is the retail media flywheel is real. And when I say the flywheel, it's easier to work with better performance drives, more dollars into the system. Easier to work with ROAS [as it] drives more dollars into the system.",Performance, Reporting, ROAS, Agencies, Brands, Moderate Alignment,,,,,,,
"And especially out of the gate, there's always growing pains whenever you switch solutions, technology, you know it's never completely seamless because it's not all in us [AdManager], right. The brands play a part in that. Agencies play a part in that. And there's differences between platforms, and I think for me a big trend that I'm seeing right now is a little bit of like a call to arms for standardisation. Especially in reporting like you see Albertsons really trumpeting it like they want standardisation, but there's not really this like IAB type platforms for retail media yet.",Business challenge, Ad Tech, Reporting, Albertsons, AdManager, IAB, Agencies, Brands, Support & guidance, High Alignment,,,
"The definition of ROAS is highly subjective. Even [with] our own retailers, the definition of ROAS is subjective. Some are on a 14 day [reporting cycle], some are on a 30 day, some are on a Halo, some are whatever. So like standardisation, and I think you know, retailers, they can't do that alone. I don't think even retailers individually can do it online. It's like where we need to come together.",Business challenge, Reporting, ROAS, Retailers, Halo reporting, Standardisation & transparency, High Alignment,,,,,,
But the more we can have a point of view on ROAS. And the more we can be transparent about what's included in our ROAS - and I think that's where design probably comes into play - is how do we be clear about what's included in our ROAS that it is transparent.,Opportunities, Reporting, ROAS, AdManager, Standardisation & transparency, Support & guidance, High Alignment,,,,,,
"A lot of other partners outside of AdManager are a lot more aggressive and how they determine ROAS. But they do it under a black box. They'll include everything in it versus us, that’s very specific [AdManager].",Business challenge, ROAS, AdManager, High Alignment,,,,,,,,,
"Like Instacart, they [partners or competitors] count out of stocks in their ROAS number. And if you guys know that here States-side. So they're like counting a sale even when it wasn't a sale. We don't do that, right. The item is picked in store and that's when it goes to sale and our side. So, anyways I feel like I'm kind of going off on a tangent. But those are like a couple of trends of you know retailers. They know they want to do it because they want the best margins that they can. That's just a retailer thing, right? They always negotiate for the best margin to get the best margins when they control it, soup to nuts [idiom for “from beginning to end"" or “start to finish”]. But they can't do it themselves, soup to nuts.",Competitors, Opportunities, ROAS, AdManager, InstaCart, Support & guidance, High Alignment,,,,,,
Another piece as we’re onboarding more and more retailers. Order-to-cash is real. I often refer to it as like the dark underbelly of retail media. Like getting and realising revenue from retail media from an order to cash-in-hand is hard.,Business challenge, Revenue, ROAS, Retailers,,,,,,,,,
"It's very, very hard because it's not just “OK, I spent a dollar and then I invoiced it”. It's also you have to abide by the IAB rules of “OK, after the month ends, I need to invoice but it can't exceed the overall contracted amount and it can't exceed the end date”. So like time zones which we incur, sometimes a few dollars will run after the month end because of the time zones that we can't invoice at that. So again, order-to-cash and understanding “OK, these suppliers spent this and then I recognise cash at the end of the day. And then it's remitted to me”. It's hard and we're still figuring it out internally.",Business challenge, Revenue, Spend, IAB, Retailers, Low Alignment,,,,,,,
"What I found here Stateside is most retailers who have elected AdManager have usually already engaged some kind of consultant. Whether it is Sapient, whether it is Deloitte or there's, you know, 3, 4, or 5 others. And all of them are smelling blood in the water because you see all these like ‘thought leadership’ pieces being sent out into the market, even they're engaging us because they, they don't even know about retail media as well as us. But that thought leadership then translate into what you know they call blueprints.",Advice and guidance, AdManager, Deloitte, Sapient, Agencies, Partners, Retailers, USA, Support & guidance, Low Alignment,,,
"And so when retailers weren't aware of these things, that's what the consultants do. [They] pull them across. I'd say they're probably best at some of the data privacy things. That's where they're most experienced. Just because it can be written down and read and regurgitated. Where they're [consultants] not very good is on the operational piece of it. Because they write a blueprint, they deliver the blueprint, they go away. And then it's up to AdManager and our services teams to pick up the pieces. Because no matter the best blueprint you have, we don't run static businesses.",Business norm, Business challenge, Advice and guidance, Opportunities, AdManager, Agencies, Retailers, High Alignment,,,,,
"It may be a great, what is it that Mike Tyson quote “Everybody's got a plan until they get punched in the face”. Like retail media, you get punched in the face every single day because we don't operate in a vacuum.",,,,,,,,,,,,,
"And you know, there's new players entering. There's brands that, you know, changing objectives. You got agencies that have their own objectives. And it's just “Make my life easy and make me look great to the brand”. So to your point, they usually know, but it's driven by a third party in the consultants.",Agencies, Retailers, Concern or Worry, Advice and guidance, Brands, High Alignment,,,,,,,
