TRANSCRIPTION,TAGS,,,,,,,,,,,,,
"It's interesting that you raise this because when we started doing like the beta program for Retail Media Planner, I started asking like TAM’s [Technical Account Managers] and CSM's [Customer Success Managers] what the Fill Rates were expected to be because the data we imported. I was like, this is really low. Surely this isn't right?",Retailer Media Planner (AdManager), Fill Rates, Managed service,,,,,,,,,,,
And no one really knew the answer. Which I found a bit strange because I would have thought that would be like a key metric that we would be tracking like from a CSM’s point of view.,Managed service, Value or belief,,,,,,,,,,,,
"And maybe it is like call it something else or you know, we sort of track it in a different way. But no one really knew exactly what the percentage Fill Rate – like a retailer would be wanting or what their existing ones were. The clients that we have in the RMP tool now with that data we have calculated Fill Rates and that's sort of ranges from – and I can quickly check now but and the data is a little bit out of date, but it would give some idea – the managed service clients had the best Fill Rates. Which I suppose makes sense. That's what you know, it shows that the managed service team are doing, you know what they should be and what they can't be doing to improve those Fill Rates.",Performance, Managed service, Retailers, Fill Rates, Retailer Media Planner (AdManager),,,,,,,,,
"Like I just checked Drizzly there and as I said the data is out of date but Drizzly there the total Sell-Through [rate] from the data that we had is only 3%. If I look at Shipt, it is like 2%. And again, this is tricky because it's out of date like a lot of this data was imported back in June [2023]. But from memory, the managed service ones were sitting at about 30% Sell-Through rate around that sort of level. And then the others that we'd imported were sitting around sort of between 5 and 10%. And that's why I was sort of questioning if the data I had was correct because to me that seems really, really low. And that's why I sort of set a questioning, you know, is this right? Do we know what the client Fill Rates are?",Shipt, Drizzly, Value or belief, Managed service, Sell-Through Rate, Understanding vague,,,,,,,,
"And no one, no one seemed to know [the Fill Rate metric]. But then also no one seemed to be concerned by like 10%, which also surprised me. So it made it made the success metrics for RMP tricky because they didn't know if they were really accurate, if that makes sense.",,,,,,,,,,,,,,
"Sorry Mike, what is it [data] that’s imported. I know managed services side is higher is 30%. What is the imported [data]? Is it the self-service.",,,,,,,,,,,,,,
"So we import all the data – so if I just share my screen for a second – like we import the data for any of these clients using RMP [shared RMP dashboard on-screen]. So as I said, this was imported from like probably June, July. Possibly even earlier. But we're getting the total impression capacity for all of their search terms and categories that are relevant. Then we're looking at how many of those are filled. And we're classing filled as being either a fixed tenancy booking or an auction booking. And then we're just dividing the two to get like a Sell-Through or a Fill Rate.",Retailer Media Planner (AdManager), Fill Rates, Sell-Through Rate, Data, Auctions, FTA (Fixed Tenancy Ads), Impressions, Search terms / Keywords, Categories,,,,,
"Where currently making changes, like part of this integration with campaign that we're doing in retail for RMP. That is bringing in more data to the RMP module that will probably make this a little bit more accurate, as currently we're not taking into account things like placements and slots. And we're not considering that a particular placement is auction only or fixed tenancy only.",Retailer Media Planner (AdManager), Campaign Manager (AdManager), Integrations, Limitation, Placements,,,,,,,,,
"So I believe in that calculations we might be counting that as, like it might be double counted for example, or it might be counted, but it shouldn't be. So probably these things will change. But that's how we're currently calculating it in all of the data’s from core dataset and insights. And, that's sort of what we're what we're getting at the moment. I'm trying to think who the best example would be.",Data challenge, Data, Insights,,,,,,,,,,,
"I mean, most of them the data is pretty… like the levels are pretty low for that Sell-Through. And it doesn't help that it's old data. But even when it was brand new data, it was still pretty low. This is Big Basket [shared dashboard on screen]. Oh, apparently this doesn't even have any data, so it's good. Maybe just in banner? There's nothing! I don't know if that helps in any way. I was sort of starting to go down the same path that you looks like you're going down now Ollie, and trying to work this out.",Data, Big Basket, Sell-Through Rate, Banners,,,,,,,,,,
"And we have like we do have that data as well. So like, again, let me find more that's actually got some data that's worth looking at. So again, like this is from I think we imported this stuff in April or something like that. It's a bit out of date. But we do break it down on like a per keyword level, so we can see like the Sell-Through rate. So this was around Easter [2023] for example. So we can say like chocolate at that time was a 10% Fill Rate. Compared to coffee was a 2% for example. And then like the top monetised one [search term], so we can see here like mouthwash for some reason was at 25% in that time.",Sell-Through Rate, Data, Fill Rates, Search terms / Keywords,,,,,,,,,,
"And then, obviously there's some large impression cap like capacity differences [between the search terms on the monetised dashboard table]. So we do break it down to that level. In terms of like deep diving, Big Basket were the most open to questioning the figures. And actually, saying like ""Oh, this doesn't seem right compared to the data that we have"". So I actually had some feedback from them [Big Basket]. See if I can quickly find it [in SharePoint]. Of course we need to do the steps signing while I'm doing that. They actually did a bit of a deep dive themselves into the Fill Rates. And they were saying it didn't seem to match up with what they expected. And they were wondering if potentially we were putting like an additional multiplier onto our total impressions.",Big Basket, Understanding vague, Fill Rates, Impressions, Follow-up, Analysis,,,,,,,,
"For example, it might be, so here [in the beta feedback spreadsheet in SharePoint] we had their number of total number of impressions for biscuits as 85 million for a year. Whereas they knew that it was only about 400,000 [impressions] per month which is about 5 million. So that's like a massive multiplier difference. Said they were questioning sort of how we came to that 85 million number.",Retailer Media Planner (AdManager), Understanding vague, Impressions,,,,,,,,,,,
"So if you want a specific retailer to reach out to, that will be useful, I definitely recommend Big Basket because they seem to be quite switched on with those figures and things like that. I think it was Ganesh that I was dealing with. All of the others, like even during the initial onboarding to the beta running demos; having them in the platform and actually using it. No one ever really raised questions around ""Is this data right? This feel right seems really low"". Which is surprising.",Retailers, On-boarding, Retailer Media Planner (AdManager), Big Basket, Data, Understanding vague,,,,,,,,
Possibly.,,,,,,,,,,,,,,
"Yeah, possibly. I mean, obviously we explain to them what it is, but you know it can get lost in translation, so to speak. So there is that potential – the difference between like terminology of Sell-Through versus Fill Rate. And potentially we need to look at renaming it in RMP as well.",Sell-Through Rate, Fill Rates, UI improvement, Language use / Terminology,,,,,,,,,,
"I want to ask some basic [questions]. So we know the Fill Rate is the one we show divided by the one we send, right? So we can send 100 [Ads], but we only show they only show impression for 5. So that's 5%. Am I right? That's the first. OK.",,,,,,,,,,,,,,
"So the way we're calculating it in RMP is the total number of impressions that are filled against the total number of available impressions. In RMP we aren't considering like the 100 Ads that may be requested and only five get shown. All we are looking at is the number of actual placements that exist that can actually have an Ad. So if they [the retailer] only have like 5 banner and 5 sponsored products, even if they were requested 100, we are only classing it as them having 10 total [placement spots]. And that's how we calculating the impression stuff. So we're not taking into account any of the Ads requested or anything like that. We’re simply looking at what could they possibly deliver, impression wise. And that's how we're calculating it.",Retailer Media Planner (AdManager), Impressions, Retailers, Placements, Metrics,,,,,,,,,
