OBSERVATION,TAGS,,,,,,,
"Participant's view was Desktop valuations were capped at $1.5 and would escalate an order to a physical valuation, saying it was ""pretty black and white in that respect"".",Escalations, Desktop Valuations,,,,,,
Participant was surprised banks were ordering Desktop valuations above $1.5m.,Valuation Orders, Banks, Brokers, Lenders, Understanding Unclear,,,
"I think that's just a lack of understanding where the agreements [between banks and valuation firms] currently sit.
",Understanding Unclear, Standing Instructions, Banks, Valuers,,,,
Was asked if valuers may receive an estimated order below $1.5m but in their estimation it may go above this threshold. Participant responded: Thought the issue was straightforward and there were guidelines and agreements to follow for order valuation at certain thresholds.,Business Practice, Valuation Orders,,,,,,
"Again, we're not suggesting that that's, right or wrong. That 1.5 million. I think there's an opportunity to have a really close look at that. However, it's as I've said, it's really black and white. 1.5 at the moment, is the cut-off for Desktops. If they are being ordered above that, then they'll automatically be escalated.",Valuation Orders, Expectations,,,,,,
"If their [borrowers] estimate is 1.4 [million] and the reality of the value is somewhere a lot higher than that, then the same thing will apply.",Escalations,,,,,,,
Commented that the role of sense-checking the valuation outcomes above $1.5m and estimated values close to the threshold fall on the valuer (and not the valuations ordering team within a valuation firm).,Valuation Orders, Habits and Routines, Prep Work, Valuers,,,,
Commented the only escalation path for valuations over $1.m is a full inspection.,Escalations,,,,,,,
"I'm of the opinion that there is a role for these Desktops - not at any level - but certainly at a higher level. But if you're at a lower level and it's a really unique property, in a suburb where the highest sale is a million dollars, sometimes a Desktop isn't appropriate. It very much is on a case-by-case basis.",Desktop Valuations, Unique Property, Challenges,,,,,
"From the survey participant listed unique or unusual properties, old images, properties where there has been renovations or improvements and missing images or attributes as key reasons to escalate a Desktop to a Full valuation.",Escalations, Unique Property, Habits and Routines, Attributes, Photos, Renovations or Improvements,,
Did not know the exact figures around the individual escalation reasons but commented that escalations were only between 10% - 15% of all Desktop valuations.,Escalations, DeskTop 1.0,,,,,,
Commented that renovations or property with improvements could not be properly served by Desktops.,Renovations or Improvements,,,,,,,
"You'd be amazed how often we do a full inspection, and we find there's a bathroom being renovated, at the time. And we go back to the bank and we mention the bathroom. And they say 'Oh god they didn't even tell us that'. Or a kitchens been renovated, or those sorts of things.",Physical Inspection, Owner-Occupant,,,,,,
Felt that discovering these renovations in progress or something unusual at a property gives comfort that they are adding value and doing a good job on behalf of the bank. Describe it as being 'the eyes and ears of the bank'.,Physical Inspection, Renovations or Improvements, Challenges,,,,,
"Commented that on past occasions the lender could write whatever they want on the loan application, and a valuer might have taken that as truth when previously doing a Kerbside valuation.",Loan Application, Lenders, Borrowers Estimate,,,,,
There are challenges around valuing properties within specific suburbs and postcodes.,Location or Postcode, Challenges,,,,,,
There are also some complexities in conducting valuations based on risk factors.,Risk or Impact,,,,,,,
