OBSERVATION,TAGS,,,,,,,,,,,,,,,,
Asked if the data would be protected from hackers or bad actors affecting the metric reporting data.,Data, Understanding unclear, Risk, Concern,,,,,,,,,,,,,
"At the start of the campaign process, the team conducts planning by looking at search analytics data in Adobe. Data is provided to supplier to help them plan.",Campaigns, Planning, Analysis, Adobe Analytics, Data, Suppliers,,,,,,,,,,,
Will use Adobe data to look at historical campaign reports for benchmarking. Use this benchmarking to set campaign expectations and performance with suppliers.,Adobe Analytics, Benchmarking, Performance metrics, Expectations,,,,,,,,,,,,,
Will provide monthly reporting to suppliers during a campaign. These are formatted Excel files exported from Adobe and sent to suppliers.,Reporting, Suppliers, Campaigns, MS Excel, Adobe Analytics,,,,,,,,,,,,
"Currently working on an internal project to get Adobe extracts flowing into a reporting platform called Coles Synergy, which is managed by an external vendor (to get behavioural reporting for suppliers). This will enable Coles to have all their reporting data aggregated in one place.",Internal systems, In-House, Adobe Analytics, Data, 3rd party, Reporting,,,,,,,,,,,
Coles Synergy records data at a SKU level so Coles team can provide suppliers with product-level performance metrics for in-store or online campaigns. Suppliers can also subscribe to the platform to get a views of this performance information. ,Data, SKU, Performance metrics, In-store, Online, Suppliers, API,,,,,,,,,,
Commented in future they expected to be able to get AdManager supplied data and this could also be blended with their own in-house reporting (e.g. Coles Synergy) via an API.,Future needs, Expectations, Data, AdManager, Internal systems, Reporting, API,,,,,,,,,,
Do not currently use the AdManager reporting.,Campaigns, Reporting, AdManager, Usage habits,,,,,,,,,,,,,
"Reporting on banner ads set ups (e.g. single tile, double tile, etc) in AdManager platform are not reflected in Adobe Analytics.",Reporting, Banner Ads, AdManager, Adobe Analytics, Data gap,,,,,,,,,,,,
"We don't know what the impressions are or what the Click Through rate is [in Adobe Analytics]. The only reporting that we can get from Adobe is a AdManager asset is the featured SKU's. So, for featured SKU’s we can get things like impressions, add to trolly clicks, units, unique quarters, and revenue. That's kind of the ?problem child? at the moment. Not having that visibility in Adobe on banner ads that are set up in AdManager.",Understanding unclear, Impressions, CTR, Adobe Analytics, Reporting, SKU, Trolly clicks, Revenue, Limitation, AdManager,,,,,,,
"Currently when new banner ad campaigns are being set up in Management Centre [platform] the Coles team will append a unique code to the landing page of all campaign. This enables Coles to get reporting data to be passed into Adobe Analytics. However, the AdManager platform does not have the same unique code to track the banner ads. ",IDEA, Campaigns, Internal systems, Business Operations, Usage habits, Tracking, Ads, Reporting, Adobe Analytics, AdManager, Limitation,,,,,,
"Suppliers will say ?We want more data. As much data as you can give us, please. We want everything?. But I don't think more [data] is better. It would be better to sort of give them the metrics that matter. And that would help them to optimise their campaign. They ask for everything, you know. But we don't supply everything. But I think they are hungry for as much information as possible.",Suppliers, Need or Want, Data, Value or Belief, Performance metrics, Optimisations, Campaigns,,,,,,,,,,
Commented that Coles need to structure the reporting and performance data for suppliers in order to make it useful to them. ,NOTE, FOLLOW-UP, Need or Want, Reporting, Performance metrics, Area of improvement, Suppliers,,,,,,,,,,
"Commented for planning and performance they would give metrics to suppliers with insights on assets, impression, clicks, add to trolly (basket), previous month comparisons, and previous year comparisons. Will report at an asset-level (what happened with the asset) and on the SKU-level.",NOTE, FOLLOW-UP, Planning, Performance metrics, Suppliers, Trends, Insights, Impressions, Comparative data, Assets, SKU,,,,,,
Will only report to suppliers on assets that sit outside AdManager. Will reply on suppliers to self-service their own AdManager reporting within the platform.,Reporting, Suppliers, Assets, Expectations, Self-serve, AdManager,,,,,,,,,,,
Nothing that I?m sort of aware of from Coles side. I would assume that Stephen is kind of the go-to person from AdManager in relation to any supplier related questions. Whether it be reporting or optimising their immediate campaigns.,Suppliers, Self-serve, Support, Expectations,,,,,,,,,,,,,
Commented on having (average) Fill Rates and Sell-Through Rates would be beneficial in the AdManager platform. Mentioned that had previously asked Stephen to run ad-hoc reporting as these metrics are not available in the platform.,Future needs, Need or Want, Fill rates, Sell-Through rates, AdManager, Performance metrics, Limitation, Area of improvement,,,,,,,,,
