OBSERVATION,TAGS,,,,,,,,,,,,,,,
"Seeing some increasing strong competition in the market, and feel we need to closely monitor. Key competitors include PromoteIQ (acquired by Microsoft), Mirakl, and Criteo.",Competitor, PromoteIQ, Criteo, Mirakl,,,,,,,,,,,,
Mirakl are starting to impact AdManager by winning RFPs. Off-Site competitors are also starting to make impacts in the Retail Media market space. For example BrandCrush (recently acquired by Criteo),Competitor, Impact, Mirakl, BrandCrush, Criteo, Competitor advantage, Off-site,,,,,,,,,
"The Trade Desk is also moving into the Retail Media market-space with a platform that managed off-site media planning, and think they will also progress into on-site too. They have their own Unified ID 2.0.",The Trade Desk, Competitor, Off-site, On-site,,,,,,,,,,,,
Spoke about Criteo's recent announcement regarding development of a self-service platform (Commerce Max). He commented that there is not too much concern about this announcement as Criteo tend. to make big PR/Stakeholder announcements like this but still have the same product and dashboard with some new product features to activate. But very little real advances in a self-managed platform offering. These type of announcements are usually used to prop up earnings reporting in Criteo.,Competitor, Criteo, Self-serve,,,,,,,,,,,,,
"Wanted to understand what our operational and reporting needs (on-site, off-site and in-store). Suggesting speaking to senior team members who use our platforms, and commented that meetings were being booked.",Follow-up,,,,,,,,,,,,,,,
"There is no simple billing feature for retailers (even in the initial Unified platform) that can be self-served. If we provided a proper self-serve billing experience we would provide a much better experience than Criteo, whose billing system is still very manual.",Competitor, Self-serve, Gap (Product or Service), Manual effort, Criteo, Billing,,,,,,,,,,
Suggested offering features that would allow each brand to request 'on-the-fly' billing. This would create a strong differentiator between AdManager and it's competitors.,Competitor, Gap (Product or Service), Brands, Billing,,,,,,,,,,,,
Commented that self-managed billing is what Mirakl is proposing to the market and they are winning RFP's due to this feature announcement.,Competitor, Self-serve, Competitor advantage, Gap (Product or Service), Mirakl, Billing,,,,,,,,,,
"Commented that Mirakl are already integrated to the marketplace with features that strongly align to self-managed billing (i.e. API's for inventory management, orders and shipments, back-office integrations, payment workflows, etc). Also noted that Mirakl just need to tie their billing feature into media Campaigns and this would be a very appealing offer to retailer as it would tie directly into how they want to work.",Mirakl, API, Competitor, Self-serve, Competitor advantage, Gap (Product or Service), Billing,,,,,,,,,
Brands want to know where they are with their billing any time within a month. Potentially they could make a single request in the UI and get their latest up-to-date billing information. Brands and retailers will also require multiple currency support.,Brands, Brand needs, Self-serve, Billing, Retailers, Multi-currency, Support,,,,,,,,,
I can tell you this [multiple currency support] is coming; this is going to be a differentiator in the future.,Brands, Complexity, Data,,,,,,,,,,,,,
"Good we have made a start with Advanced Reporting, and halo reporting. However, it is not really a differentiator as Criteo provides this already. But it is a necessary part of our  offering.",Consideration, Competitor, Reporting, Criteo, Positive feedback, Brand needs, Halo reporting, Retailer needs,,,,,,,,
"What will need to be different is the content and granularity of the future Advanced Reporting we will offer to brands and retailers. Recommend we do a comparative analysis to Criteo's reporting to (a) add an items for parity, and (b) add items that would provide us with a clear advantage.",Consideration, Follow-up, Future research, Reporting,,,,,,,,,,,,
"In Europe most needs have been for on-site reporting and commented that off-site reporting in AdManager still seems too 'theoretical' for brands and retailers at the moment. but feels when we release the full Unified UI reporting (on-site, off-site and in-store) we well get a number of activation request from brands and retailers.",In-store, Off-site, On-site, Reporting, Business challenge, AdManager, Brands, Retailers, Europe,,,,,,,
In-store reporting in the UK is something that the whole market is asking for; and it doesn't exist in the retail media platform space today. There is no single unified platform offering this disconnected dashboards or spreadsheet reports that brands and retailers have created themselves.,In-store, Opportunity, Reporting, Gap (Product or Service), UK,,,,,,,,,,,
"If we manage to really have off-site that includes in-store, and maybe in the future CTV [Connected TV devices - smart TV's, mobiles, tablets, etc. connected to streaming content - e.g. Amazon, YouTube, etc.]. That's going to be a massive differentiator in the market. It doesn't have to be too detailed. It doesn't have to have the advanced report features, I think. As long as there is the functionality there [to see all channels] and they can tie this to some of the major players in the market like JCDecaux [outdoor & billboard advertisers] and Clear Channel.",Consideration, Competitor, Future opportunity, In-store, Reporting, Amazon, Clear Channel, CTV (Connected TV), JDDecaux, Social media, Europe,,,,,
For in-store AdManager should first focus on digital screens and then look to fulfill all in-store advertising later on. Commented the US in-store market experience has a lot of deeper integrations and tends to be a very complex region for reporting. With the majority of retailer and brands in transformation to get matching product ID's for reporting.,Digital, Future opportunity, In-store, AdManager, Business strategy, Catalog (retailer), Integrations, Future challenge, USA,,,,,,,
Recommended starting with a simple in-store reporting view that would not be catering to advanced reporting at the start. This would enable AdManager to have something useful in market sooner. ,Recommendation, Consideration, Future opportunity, In-store, Reporting, Value-add, AdManager,,,,,,,,,
